gene	drug	regulatory approval	indication	interaction score
TNFRSF17	AUTOLOGOUS ANTI-BCMA-CAR-TCRZ/4-1BB-EXPRESSING T-LYMPHOCYTES CART-BCMA	Not Approved	""	2.763561643983921
TNFRSF17	BELANTAMAB MAFODOTIN-BLMF	Approved	""	0.162562449646113
TNFRSF17	AUTOLOGOUS ANTI-BCMA-CAR-4-1BB-CD3ZETA-EXPRESSING MEMORY T-LYMPHOCYTES BB21217	Not Approved	""	2.763561643983921
TNFRSF17	AUTOLOGOUS ANTI-BCMA-CAR-MRNA-TRANSFECTED CD8+ T-LYMPHOCYTES	Not Approved	""	2.763561643983921
TNFRSF17	AUTOLOGOUS ANTI-BCMA-CAR-EXPRESSING CD4+/CD8+ T-LYMPHOCYTES FCARH143	Not Approved	""	2.763561643983921
TNFRSF17	BI6015	Not Approved	""	2.763561643983921
TNFRSF17	P-BCMA-101	Not Approved	""	2.763561643983921
TNFRSF17	IDECABTAGENE VICLEUCEL	Not Approved	""	2.763561643983921
TNFRSF17	ORVACABTAGENE AUTOLEUCEL	Not Approved	""	2.763561643983921
TNFRSF17	TECLISTAMAB-CQYV	Approved	""	0.6908904109959803
TNFRSF17	PACANALOTAMAB	Not Approved	""	2.763561643983921
TNFRSF17	AUTOLOGOUS ANTI-BCMA-CAR-4-1BB-CD3ZETA-EXPRESSING T-CELLS C-CAR088	Not Approved	""	2.763561643983921
AREG	IRINOTECAN HYDROCHLORIDE	Approved	antineoplastic agent	0.3333820395917111
AREG	CAPECITABINE	Approved	""	0.3889457128569963
AREG	PANITUMUMAB	Approved	antineoplastic agent	0.5250767123569451
AREG	CETUXIMAB	Approved	antineoplastic agent	0.2917092846427472
AREG	CRIZOTINIB	Approved	antineoplastic agent	0.4039051633514962
COL9A3	INAMRINONE	Approved	Cardiotonic Agents; Phosphodiesterase Inhibitors	0.5527123287967842
COL9A3	MILRINONE	Approved	Cardiotonic Agents; Vasodilator Agents	1.750255707856483
COL9A3	CILOSTAMIDE	Not Approved	""	2.625383561784724
COL9A3	CILOSTAZOL	Approved	Platelet Aggregation Inhibitors	0.7501095890813498
COL9A3	CYCLIC GMP	Not Approved	""	2.10030684942778
CCL5	FLUTICASONE	Approved	glucocorticoid,antiinflammatory agent,for treatment of symptomatic exophthalmos associated with thyroid-related eye disease,bronchodilator	2.763561643983921
CCL5	RECOMBINANT OX40 LIGAND	Not Approved	""	26.25383561784724
CCR5	BMS-813160	Not Approved	""	2.625383561784724
CCR5	CENICRIVIROC MESYLATE	Not Approved	HIV,antiviral agent	2.625383561784724
CCR5	INCB-9471	Not Approved	""	2.625383561784724
CCR5	GLATIRAMER	Approved	""	0.7501095890813498
CCR5	E913	Not Approved	""	1.312691780892362
CCR5	PF-232798	Not Approved	""	5.250767123569449
CCR5	TAK-220	Not Approved	""	3.938075342677087
CCR5	MARAVIROC	Approved	HIV,antiviral agent	3.938075342677087
CCR5	HGS-1025	Not Approved	""	2.625383561784724
CCR5	CENICRIVIROC	Not Approved	""	1.750255707856483
CCR5	AZD5672	Not Approved	""	1.312691780892362
CCR5	PF-04634817	Not Approved	""	1.312691780892362
CCR5	LERONLIMAB	Not Approved	HIV,antiviral agent	7.876150685354174
CCR5	VICRIVIROC MALEATE	Not Approved	""	2.625383561784724
CCR5	ANTI-HIV-1 LENTIVIRAL VECTOR-EXPRESSING SH5/C46 CAL-1	Not Approved	""	2.625383561784724
CCR5	APLAVIROC HYDROCHLORIDE	Not Approved	""	1.312691780892362
CCR5	CCR5MAB004	Not Approved	""	2.625383561784724
CCR5	CCR5 MAB	Not Approved	""	5.250767123569449
CCR5	INCB-9471	Not Approved	""	2.625383561784724
CCR5	VICRIVIROC	Not Approved	HIV,antiviral agent	2.625383561784724
CD19	AUTOLOGOUS ANTI-CD19 CHIMERIC ANTIGEN RECEPTOR T-CELLS C-CAR011	Not Approved	""	1.28067490818767
CD19	VADACABTAGENE LERALEUCEL	Not Approved	""	1.28067490818767
CD19	LONCASTUXIMAB TESIRINE	Approved	""	1.28067490818767
CD19	DEGLYCOSYLATED RICIN A CHAIN-CONJUGATED ANTI-CD19/ANTI-CD22 IMMUNOTOXINS	Not Approved	""	0.6403374540938354
CD19	BLINATUMOMAB	Approved	antineoplastic agent	0.5122699632750684
CD19	ANTI-CD19 CAR T CELLS PREPARATION	Not Approved	""	0.6403374540938354
CD19	TISAGENLECLEUCEL	Approved	""	1.921012362281506
CD19	RELMACABTAGENE AUTOLEUCEL	Not Approved	""	1.28067490818767
CD19	MDX-1342	Not Approved	antineoplastic agent	3.842024724563012
CD19	INEBILIZUMAB-CDON	Approved	""	1.28067490818767
CD19	AUTOLOGOUS ANTI-CD19 CAR T-CELLS IM19	Not Approved	""	1.28067490818767
CD19	DUVORTUXIZUMAB	Not Approved	""	1.28067490818767
CD19	AUTOLOGOUS ANTI-CD19 CHIMERIC ANTIGEN RECEPTOR T-CELLS SJCAR19	Not Approved	""	1.28067490818767
CD19	LISOCABTAGENE MARALEUCEL	Not Approved	""	1.28067490818767
CD19	ANTI-CD19 CAR T-CELLS XLCART001	Not Approved	""	1.28067490818767
CD19	AXICABTAGENE CILOLEUCEL	Not Approved	""	1.28067490818767
CD19	JCAR014	Not Approved	""	1.28067490818767
CD19	AUTOLOGOUS CD19 CAR-EXPRESSING CD4+/CD8+ T-CELLS MB-CART19.1	Not Approved	""	1.28067490818767
CD19	ALLOGENEIC ANTI-CD19-CAR-CD28-IL-15-EXPRESSING NATURAL KILLER T-CELLS	Not Approved	""	1.28067490818767
CD19	AUTO3	Not Approved	""	0.6403374540938354
CD19	COLTUXIMAB RAVTANSINE	Not Approved	""	1.28067490818767
CD19	BREXUCABTAGENE AUTOLEUCEL	Approved	""	1.28067490818767
CD19	OBEXELIMAB	Not Approved	""	0.6403374540938354
CD19	COLTUXIMAB RAVTANSINE	Not Approved	antineoplastic agent	3.842024724563012
CD19	DENINTUZUMAB MAFODOTIN	Not Approved	""	2.561349816375341
CD19	LISOCABTAGENE MARALEUCEL	Approved	""	1.28067490818767
CD19	AZERCABTAGENE ZAPRELEUCEL	Not Approved	""	1.28067490818767
CD19	CD19CAR-CD3ZETA-4-1BB-EXPRESSING ALLOGENEIC T-LYMPHOCYTE CELLS	Not Approved	""	1.28067490818767
CD19	AUTOLOGOUS CD19CAR-CD28-CD137/CD27/CD3ZETA-ICASP9-EXPRESSING T-LYMPHOCYTES	Not Approved	""	1.28067490818767
CD19	AMG-729	Not Approved	""	1.28067490818767
CD19	ANTI-CD20 CAR T CELLS PREPARATION	Not Approved	""	0.6403374540938354
CD19	AFM-11	Not Approved	""	0.6403374540938354
CD19	ONCOLYSIN B	Not Approved	""	1.28067490818767
CD19	TAPLITUMOMAB PAPTOX	Not Approved	""	1.28067490818767
CD19	DENINTUZUMAB	Not Approved	""	1.28067490818767
CD19	CD19-TARGETED CAR T2 CELLS	Not Approved	""	1.28067490818767
CD19	AUTOLOGOUS ANTI-CD19 CAR-T CELLS TBI-1501	Not Approved	""	1.28067490818767
CD19	AUTOLOGOUS ANTI-CD19CAR-4-1BB-CD3ZETA-EGFRT-EXPRESSING T LYMPHOCYTES	Not Approved	""	1.28067490818767
CD19	AUTOLOGOUS ANTI-CD19 CAR-EXPRESSING T-LYMPHOCYTES CLIC-1901	Not Approved	""	1.28067490818767
CD19	AXICABTAGENE CILOLEUCEL	Approved	""	2.561349816375341
CD19	TAFASITAMAB	Approved	antineoplastic agent	0.8537832721251137
TCL1A	EXEMESTANE	Approved	antineoplastic agent	3.088686543276147
TCL1A	ESTRADIOL VALERATE	Approved	for treatment of menopausal symptoms,contraceptive,treatment for menopause,hormone replacement	1.117184494376478
COL1A2	RECOMBINANT TRANSFORMING GROWTH FACTOR	Not Approved	""	0.5303805175322677
COL1A2	COLLAGENASE CLOSTRIDIUM HISTOLYTICUM-AAES	Approved	for treatment of Dupuytren's contracture	0.6250913242344583
COL1A2	RECOMBINANT INTERFERON	Not Approved	""	0.2991890098899971
COL1A2	RECOMBINANT TRANSFORMING GROWTH FACTOR-BETA-2	Not Approved	""	2.333674277141978
COL1A2	OCRIPLASMIN	Approved	""	0.1535312024435511
COL1A2	DOXORUBICIN HYDROCHLORIDE	Approved	antineoplastic agent	0.07778914257139925
COL1A2	TNF-ALPHA	Not Approved	""	0.4861821410712453
COL1A2	ST034307	Not Approved	""	5.834185692854944
COL1A2	DAUNORUBICIN LIPOSOMAL	Approved	antineoplastic agent	0.1282238613814273
OSM	TNF-ALPHA	Not Approved	""	2.187819634820604
OSM	IL-10	Not Approved	""	10.5015342471389
GNG11	COMPOUND 20 [PMID: 34432979]	Not Approved	""	2.625383561784724
GNG11	SM-122	Not Approved	""	1.312691780892362
GNG11	GDC-0152	Not Approved	""	1.312691780892362
GNG11	BV-6	Not Approved	""	2.625383561784724
GNG11	LCL161	Not Approved	""	0.7501095890813498
GNG11	SM-337	Not Approved	""	1.750255707856483
GNG11	TOLINAPANT	Not Approved	""	2.625383561784724
GNG11	BIRINAPANT	Not Approved	""	0.6563458904461812
GNG11	AZD5582	Not Approved	""	1.750255707856483
GNG11	XEVINAPANT	Not Approved	""	0.7501095890813498
TNFSF11	LENALIDOMIDE	Approved	antineoplastic agent	2.019525816757481
TNFSF11	DENOSUMAB	Approved	antiosteoporotic agent	43.75639269641208
F2R	VORAPAXAR	Approved	cardiovascular agent	1.00976290837874
F2R	ATROPINE	Approved	nerve agent antidote	0.2375912725597036
F2R	ASPIRIN	Approved	NSAID,antithrombotic,anticoagulant	0.0572915125321271
F2R	THROMBIN	Approved	topical tissue sealant,for treatment of hemophilia B,coagulant	0.841469090315617
F2R	ALPROSTADIL	Approved	for treatment of sexual dysfunction in women,for treatment of erectile dysfunction	0.175610940587607
F2R	WORTMANNIN	Not Approved	""	0.2885036881082115
F2R	THALIDOMIDE	Approved	antineoplastic agent	0.1091635576625665
F2R	CLOPIDOGREL	Approved	antithrombotic,antiplatelet agent	0.1154014752432846
F2R	DESIRUDIN	Approved	antithrombotic	1.00976290837874
F2R	TINZAPARIN SODIUM	Approved	Anticoagulants,anticoagulant	0.577007376216423
F2R	RECOMBINANT TRANSFORMING GROWTH FACTOR	Not Approved	""	0.1835932560688619
F2R	ARGATROBAN	Approved	anticoagulant	1.346350544504987
F2R	N-(5-{4-CHLORO-3-[(2-HYDROXYETHYL)SULFAMOYL]PHENYL}-4-METHYL-1,3-THIAZOL-2-YL)ACETAMIDE	Not Approved	""	2.01952581675748
F2R	WORTMANNIN	Not Approved	""	0.252440727094685
F2R	TYROSINE KINASE INHIBITOR	Not Approved	""	0.1553481397505754
F2R	THERAPEUTIC GLUCOCORTICOID	Not Approved	""	0.1187956362798518
F2R	BLEOMYCIN	Approved	antineoplastic agent	0.252440727094685
F2R	DEHYDRATED ALCOHOL	Approved	""	0.05112723586727799
F2R	TORIN 2	Not Approved	""	0.2885036881082115
F2R	BEVACIZUMAB-AWWB	Approved	antineoplastic agent	0.100976290837874
F2R	RUSALATIDE	Not Approved	for treatment of diabetic foot ulcers	0.6731752722524935
F2R	COMPOUND 22 [WO2019141694A1]	Not Approved	""	2.01952581675748
F2R	PZ-128	Not Approved	""	2.01952581675748
F2R	PAREGORIC	Approved	analgesic	0.0878054702938035
F2R	ATOPAXAR	Not Approved	""	2.01952581675748
F2R	VORAPAXAR SULFATE	Approved	""	2.01952581675748
FLT3	PF-04691502	Not Approved	""	0.05402023789680503
FLT3	APG-2575	Not Approved	""	0.3241214273808302
FLT3	QUIZARTINIB	Approved	antineoplastic agent	1.040600372117402
FLT3	SELINEXOR	Approved	""	0.1296485709523321
FLT3	GW843682X	Not Approved	""	0.008310805830277698
FLT3	RECOMBINANT TRANSFORMING GROWTH FACTOR	Not Approved	""	0.0294655843073482
FLT3	CHEMBL:CHEMBL536151	Not Approved	""	0.08103035684520755
FLT3	SORAFENIB	Approved	antineoplastic agent	0.179119736184143
FLT3	VS-5584	Not Approved	""	0.05893116861469641
FLT3	TYRPHOSTIN AG 1296	Not Approved	""	0.3241214273808302
FLT3	TOFACITINIB	Approved	""	0.04630306105440431
FLT3	LUXEPTINIB	Not Approved	""	0.1620607136904151
FLT3	CRENOLANIB	Not Approved	""	0.6050266644442165
FLT3	PONATINIB	Approved	antineoplastic agent	0.4278402841426959
FLT3	IMATINIB	Approved	antineoplastic agent	0.008643238063488805
FLT3	ONO-7475	Not Approved	""	0.2160809515872201
FLT3	EVEROLIMUS	Approved	immunosuppressant	0.01852122442176172
FLT3	OMACETAXINE MEPESUCCINATE	Approved	antineoplastic agent	0.1296485709523321
FLT3	MELK INHIBITOR OTS167	Not Approved	""	0.6482428547616604
FLT3	PEXIDARTINIB	Approved	""	0.1852122442176172
FLT3	FLT3 INHIBITOR BMF-500	Not Approved	""	0.3241214273808302
FLT3	DUBERMATINIB	Not Approved	""	0.10804047579361
FLT3	KENPAULLONE	Not Approved	""	0.006752529737100629
FLT3	MIDOSTAURIN	Approved	antineoplastic agent	0.5672124979164529
FLT3	MOMELOTINIB	Approved	""	0.04986483498166619
FLT3	TANDUTINIB	Not Approved	antineoplastic agent	0.2546668357992238
FLT3	ALISERTIB	Not Approved	antineoplastic agent	0.01440539677248134
FLT3	FF-10101	Not Approved	""	0.4321619031744402
FLT3	PF-562271	Not Approved	""	0.003001124327600279
FLT3	CLOFARABINE	Approved	antineoplastic agent	0.0170590224937279
FLT3	IDARUBICIN	Approved	Antineoplastic Agents	0.02025758921130189
FLT3	TIRBANIBULIN	Approved	antineoplastic agent	0.1944728564284981
FLT3	AMUVATINIB	Not Approved	antineoplastic agent	0.1852122442176172
FLT3	TUSPETINIB	Not Approved	""	0.3241214273808302
FLT3	ENASIDENIB	Approved	""	0.08103035684520755
FLT3	FLT3/CDK4/6 INHIBITOR FLX925	Not Approved	""	0.3241214273808302
FLT3	IMC-EB10	Not Approved	""	0.3241214273808302
FLT3	DANUSERTIB	Not Approved	""	0.08103035684520755
FLT3	LAS38096	Not Approved	""	0.0294655843073482
FLT3	AZACITIDINE	Approved	antineoplastic agent	0.06482428547616606
FLT3	GTP-14564	Not Approved	""	0.1296485709523321
FLT3	OLVEREMBATINIB	Not Approved	""	0.1620607136904151
FLT3	ALTIRATINIB	Not Approved	""	0.06482428547616606
FLT3	LESTAURTINIB	Not Approved	antineoplastic agent	0.8643238063488805
FLT3	IBRUTINIB	Approved	antineoplastic agent	0.0294655843073482
FLT3	TALAZOPARIB	Approved	""	0.02400899462080223
FLT3	AKN-028	Not Approved	""	0.3241214273808302
FLT3	VENETOCLAX	Approved	""	0.1852122442176172
FLT3	4SC-203	Not Approved	""	0.08103035684520755
FLT3	GSK690693	Not Approved	""	0.04051517842260378
FLT3	ENMD-981693	Not Approved	""	0.0170590224937279
FLT3	PACRITINIB	Approved	antineoplastic agent	0.2520944435184235
FLT3	ABIVERTINIB	Not Approved	""	0.10804047579361
FLT3	CHEMBL:CHEMBL1997335	Not Approved	""	0.007717176842400719
FLT3	ANTISERUM	Not Approved	""	0.01852122442176172
FLT3	AS-602868	Not Approved	""	0.1620607136904151
FLT3	ENTRECTINIB	Approved	""	0.005686340831242635
FLT3	AVAPRITINIB	Approved	""	0.1296485709523321
FLT3	NVP-TAE684	Not Approved	""	0.003146809974571167
FLT3	PEXIDARTINIB HYDROCHLORIDE	Approved	""	0.10804047579361
FLT3	ANTI-FLT3/CD3 BISPECIFIC ANTIBODY CLN-049	Not Approved	""	0.3241214273808302
FLT3	BRIGATINIB	Approved	""	0.05893116861469641
FLT3	FLT3 TYROSINE KINASE INHIBITOR TTT-3002	Not Approved	""	0.3241214273808302
FLT3	ITACNOSERTIB	Not Approved	""	0.6482428547616604
FLT3	AST-487	Not Approved	""	0.007905400667825128
FLT3	PD98059	Not Approved	""	0.2160809515872201
FLT3	DENFIVONTINIB HYDROCHLORIDE	Not Approved	""	0.6482428547616604
FLT3	TRETINOIN	Approved	for treatment of acne	0.01068532178178561
FLT3	HSP90 INHIBITOR LAM-003	Not Approved	""	0.6482428547616604
FLT3	NEMTABRUTINIB	Not Approved	""	0.3241214273808302
FLT3	SUNITINIB	Approved	antineoplastic agent	0.1124502911321247
FLT3	TYROSINE KINASE INHIBITOR	Not Approved	""	0.03739862623624964
FLT3	E6201	Not Approved	""	0.09260612210880863
FLT3	FLT3 INHIBITOR FF-10101 SUCCINATE	Not Approved	""	0.3241214273808302
FLT3	CYTARABINE	Approved	antineoplastic agent	0.05602098744853855
FLT3	K 252A	Not Approved	""	0.3241214273808302
FLT3	GILTERITINIB	Approved	""	0.4947116523181093
FLT3	AMG553	Not Approved	""	0.3241214273808302
FLT3	CT-1578	Not Approved	""	0.08103035684520755
FLT3	TAMATINIB	Not Approved	""	0.01600599641386816
FLT3	C-1311	Not Approved	antineoplastic agent	0.06482428547616606
FLT3	NILOTINIB	Approved	antineoplastic agent	0.02025758921130189
FLT3	PHI-101	Not Approved	""	0.3241214273808302
FLT3	GILTERITINIB FUMARATE	Approved	""	0.1620607136904151
FLT3	METHOTREXATE	Approved	DMARD	0.005787882631800539
FLT3	CDX-301	Not Approved	""	0.3241214273808302
FLT3	CABOZANTINIB S-MALATE	Approved	antineoplastic agent	0.04419837646102231
FLT3	BORTEZOMIB	Approved	antineoplastic agent	0.00376885380675384
FLT3	ENTOSPLETINIB	Not Approved	""	0.3241214273808302
FLT3	ARSENIC TRIOXIDE	Approved	antineoplastic agent	0.02493241749083309
FLT3	TYRPHOSTIN AG 1295	Not Approved	""	0.3241214273808302
FLT3	XL999	Not Approved	antineoplastic agent	0.06482428547616606
FLT3	RECOMBINANT TRANSFORMING GROWTH FACTOR-BETA 1	Not Approved	""	0.03086870736960287
FLT3	ENMD-2076	Not Approved	antineoplastic agent	0.04182211966204261
FLT3	FLYSYN	Not Approved	""	0.3241214273808302
FLT3	SHP2 INHIBITOR ERAS-601	Not Approved	""	0.3241214273808302
FLT3	DECITABINE	Approved	antineoplastic agent	0.02592971419046642
FLT3	CYC-116	Not Approved	""	0.003341458014235363
FLT3	FEDRATINIB	Approved	antineoplastic agent	0.04630306105440431
FLT3	FAMITINIB	Not Approved	""	0.04630306105440431
FLT3	CENISERTIB	Not Approved	antineoplastic agent	0.008240375272393989
FLT3	AGS62P1	Not Approved	""	0.3241214273808302
FLT3	4SC-202	Not Approved	antineoplastic agent	0.05402023789680503
FLT3	FLT-3 INHIBITOR	Not Approved	""	0.3241214273808302
FLT3	MRX-2843	Not Approved	""	0.6482428547616604
FLT3	FLT3/ABL/AURORA KINASE INHIBITOR KW-2449	Not Approved	""	0.3241214273808302
FLT3	FIMEPINOSTAT	Not Approved	""	0.02493241749083309
FLT3	SONIDEGIB	Approved	antineoplastic agent	0.10804047579361
FLT3	CM-082	Not Approved	""	0.08103035684520755
FLT3	ZOTIRACICLIB	Not Approved	""	0.1620607136904151
FLT3	AKT INHIBITOR MK2206	Not Approved	""	0.06077276763390567
FLT3	FN-1501	Not Approved	""	0.6482428547616604
FLT3	AT-9283	Not Approved	""	0.02701011894840251
FLT3	AZD1480	Not Approved	""	0.08103035684520755
FLT3	GELDANAMYCIN	Not Approved	""	0.06945459158160648
FLT3	SU-014813	Not Approved	""	0.04630306105440431
FLT3	BAY 61-3606	Not Approved	""	0.007905400667825128
FLT3	TAZEMETOSTAT	Approved	""	0.09260612210880863
FLT3	BARASERTIB-HQPA	Not Approved	""	0.01409223597307957
FLT3	REVUMENIB	Not Approved	""	0.3241214273808302
FLT3	GO-6976	Not Approved	""	0.00753770761350768
FLT3	ANTHRACYCLINE ANTINEOPLASTIC ANTIBIOTIC	Not Approved	""	0.02701011894840251
FLT3	REBASTINIB	Not Approved	""	0.10804047579361
FLT3	SP-600125	Not Approved	""	0.003641813790795845
FLT3	HESPERADIN	Not Approved	""	0.008103035684520758
FLT3	PATIDEGIB	Not Approved	""	0.2160809515872201
FLT3	GLASDEGIB	Approved	""	0.1620607136904151
FLT3	OLAPARIB	Approved	""	0.0147327921536741
FLT3	ILORASERTIB	Not Approved	""	0.00279415023604164
FLT3	SGI-1776	Not Approved	antineoplastic agent	0.10804047579361
FLT3	AGL 2043	Not Approved	""	0.1620607136904151
FLT3	RUXOLITINIB	Approved	antiinflammatory agent,antineoplastic agent	0.03813193263303886
FLT3	IPATASERTIB	Not Approved	antineoplastic agent	0.05402023789680503
FLT3	HERBIMYCIN A	Not Approved	""	0.08103035684520755
FLT3	GMI-1359	Not Approved	""	0.10804047579361
FLT3	MIRDAMETINIB	Not Approved	""	0.04051517842260378
FLT3	PACRITINIB CITRATE	Approved	""	0.1620607136904151
FLT3	CEP-2563	Not Approved	""	0.01906596631651943
FLT3	DAUNORUBICIN LIPOSOMAL	Approved	antineoplastic agent	0.04274128712714244
FLT3	AGI-5198	Not Approved	""	0.2160809515872201
FLT3	P505-15	Not Approved	antiinflammatory agent	0.10804047579361
FLT3	FEDRATINIB HYDROCHLORIDE	Approved	""	0.1620607136904151
FLT3	XL-999	Not Approved	""	0.0294655843073482
FLT3	SITRAVATINIB	Not Approved	""	0.04051517842260378
FLT3	RG-1530	Not Approved	""	0.006896200582570855
FLT3	RUSERONTINIB	Not Approved	""	0.08103035684520755
FLT3	PD-0166285	Not Approved	""	0.006233104372708274
FLT3	KW-2449	Not Approved	""	0.2430910705356226
FLT3	NINGETINIB	Not Approved	""	0.06482428547616606
FLT3	TRAMETINIB DIMETHYL SULFOXIDE	Approved	antineoplastic agent	0.03889457128569963
FLT3	DOXORUBICIN HYDROCHLORIDE	Approved	antineoplastic agent	0.004321619031744403
FLT3	AG 1295	Not Approved	""	0.2160809515872201
FLT3	TOZASERTIB	Not Approved	antineoplastic agent	0.004440019553162058
FLT3	DOVITINIB	Not Approved	antineoplastic agent	0.01283649217349822
FLT3	SEMAXANIB	Not Approved	""	0.07626386526607772
FLT3	PALBOCICLIB	Approved	""	0.01984416902331613
FLT3	FORETINIB	Not Approved	antineoplastic agent	0.05117706748118372
FLT3	CHEMBL:CHEMBL535331	Not Approved	""	0.03601349193120336
FLT3	LINIFANIB	Not Approved	antineoplastic agent	0.02836062489582264
FLT3	ASTX029	Not Approved	""	0.1620607136904151
FLT3	GSK-269962A	Not Approved	""	0.007366396076837051
FLT3	MITOXANTRONE	Approved	antineoplastic agent	0.0147327921536741
GNG7	AZD4877	Not Approved	""	26.25383561784724
CXCR1	LADARIXIN	Not Approved	""	3.75054794540675
CXCR1	NAVARIXIN	Not Approved	for treatment of chronic obstructive pulmonary disorder (COPD)	3.0004383563254
CXCR1	REPARIXIN	Not Approved	""	5.000730593875666
CXCR1	CANOCTAKIN	Not Approved	immunosuppressant,antiinflammatory agent	3.75054794540675
CXCR1	IBUPROFEN, SODIUM SALT	Approved	NSAID	0.192335792072141
CXCR1	SX-682	Not Approved	""	3.75054794540675
CXCR1	NAVARIXIN	Not Approved	""	3.75054794540675
ITGA11	RECOMBINANT INTERFERON	Not Approved	""	2.692701089009974
TNFSF10	RECOMBINANT ADENOVIRUS 5 ENCODING TUMOR NECROSIS FACTOR-RELATED APOPTOSIS-INDUCING LIGAND	Not Approved	""	17.50255707856483
TNFSF10	TRICHOSTATIN A	Not Approved	""	1.750255707856483
TNFSF10	SODIUM BUTYRATE	Not Approved	""	2.500365296937833
LIF	BUPIVACAINE	Approved	neuralgia,analgesic,local anestethic,Local,Anesthetics	0.325124899292226
LIF	DAIDZEIN	Not Approved	""	0.290901225682518
LIF	DECITABINE	Approved	antineoplastic agent	0.2210849315187136
LIF	CLOMIPHENE CITRATE	Approved	""	1.38178082199196
LIF	MIFEPRISTONE	Approved	antidepressant,antipsychotic,for lowering intraocular pressure,opthalmological agent	0.1973972602845657
LIF	RECOMBINANT INTERLEUKIN-1	Not Approved	antineoplastic agent	0.3070624048871023
LIF	ANTISENSE OLIGONUCLEOTIDES	Not Approved	""	0.167488584483874
LIF	HUMAN CHORIONIC GONADOTROPIN	Approved	""	0.4363518385237769
LIF	SIMVASTATIN	Approved	antidyslipidaemic agent,anticholesterolaemic agent,antihypertensive agent	0.1105424657593568
LIF	CISPLATIN	Approved	""	0.0571771374617363
LIF	ESTRADIOL VALERATE	Approved	for treatment of menopausal symptoms,contraceptive,treatment for menopause,hormone replacement	0.117598367829103
LIF	AZACITIDINE	Approved	antineoplastic agent	0.138178082199196
LIF	THROMBIN	Approved	topical tissue sealant,for treatment of hemophilia B,coagulant	0.2302968036653267
LIF	CAPSAICIN	Approved	analgesic	0.325124899292226
LIF	PACLITAXEL	Approved	for treatment of peripheral arterial disease (PAD),DMARD,antiinflammatory agent,antineoplastic agent	0.05117706748118372
LIF	THERAPEUTIC HORMONE	Not Approved	""	0.1256164383629055
LIF	TRETINOIN	Approved	for treatment of acne	0.06073761854909716
LIF	DEXAMETHASONE	Approved	for treatment of Meniere's disease,glucocorticoid,antiinflammatory agent	0.06426887544148653
LIF	IL-13	Not Approved	""	1.38178082199196
STAT4	DNA METHYLTRANSFERASE INHIBITOR	Not Approved	""	17.50255707856483
STAT4	LISOFYLLINE	Not Approved	antidiabetic	4.375639269641208
STAT4	ALDESLEUKIN	Approved	antineoplastic agent	0.8751278539282418
STAT4	IL-12	Not Approved	""	15.55782851427985
STAT4	USTEKINUMAB	Approved	DMARD,antiinflammatory agent,Antipsoriatic Agents	0.8751278539282418
STAT4	INTERLEUKIN-12	Not Approved	""	17.50255707856483
TNFSF12	RO-5458640	Not Approved	""	78.76150685354175
TNFSF12	BIIB-023	Not Approved	""	26.25383561784724
IL15RA	IL-15	Not Approved	""	13.12691780892362
IL15RA	IL-2/9/15 GAMMA CHAIN RECEPTOR INHIBITOR BNZ-1	Not Approved	""	3.281729452230906
IL15RA	ALT-803	Not Approved	""	13.12691780892362
IL15RA	RECOMBINANT HUMAN INTERLEUKIN-15	Not Approved	""	4.375639269641208
PDGFD	SUNITINIB	Approved	antineoplastic agent	0.5357925636295356
PDGFD	CR002	Not Approved	for treatment of IgA nephropathy	26.25383561784724
TNFRSF8	BRENTUXIMAB VEDOTIN	Approved	antineoplastic agent	1.276228120312019
TNFRSF8	SGN-30	Not Approved	""	6.563458904461812
TNFRSF8	ANTI-CD30 MONOCLONAL ANTIBODY MDX-1401	Not Approved	antineoplastic agent	3.281729452230906
TNFRSF8	BRENTUXIMAB	Not Approved	""	3.281729452230906
TNFRSF8	IRATUMUMAB	Not Approved	antineoplastic agent	9.845188356692718
TNFRSF8	XMAB-2513	Not Approved	""	3.281729452230906
TNFRSF8	AUTOLOGOUS CD30CAR-CD28-CD3ZETA-EXPRESSING T-LYMPHOCYTES	Not Approved	""	3.281729452230906
TNFRSF8	ANTI-CD30 CAR T CELLS PREPARATION	Not Approved	""	3.281729452230906
TNFRSF8	AUTOLOGOUS CCR4-CD30CAR-CD28-CD3ZETA-EXPRESSING T-LYMPHOCYTES	Not Approved	""	1.640864726115453
TNFRSF8	DACTINOMYCIN	Approved	""	0.1875273972703375
TNFRSF8	FLUTICASONE	Approved	glucocorticoid,antiinflammatory agent,for treatment of symptomatic exophthalmos associated with thyroid-related eye disease,bronchodilator	0.3454452054979901
TNFRSF8	AFM13	Not Approved	antineoplastic agent	1.093909817410302
TNFRSF8	TAFASITAMAB	Approved	antineoplastic agent	1.093909817410302
TNFRSF8	RECOMBINANT CHEMOKINE	Not Approved	""	0.546954908705151
TNFRSF8	VITAMIN A	Approved	""	0.2430910705356226
TNFRSF8	HEFI-1	Not Approved	""	3.281729452230906
LAMB2	OCRIPLASMIN	Approved	""	1.38178082199196
COMP	BC11-38	Not Approved	""	26.25383561784724
COMP	TADALAFIL	Approved	for treatment of erectile dysfunction	6.563458904461812
GNB3	FUROSEMIDE	Approved	Antihypertensive Agents; Diuretics	0.4861821410712454
GNB3	HYDROCHLOROTHIAZIDE	Approved	antihypertensive agent	0.1902451856365742
